Category,Edge Node,Cloud Node,edge_mm,cld_mm
6,3,0,3.0,0.0
9,2,0,2.5,0.0
12,2,1,2.3333333333333335,0.3333333333333333
15,3,1,2.5,0.5
18,3,1,2.6,0.6
21,3,0,2.6666666666666665,0.5
24,3,0,2.7142857142857144,0.42857142857142855
27,3,0,2.75,0.375
30,3,0,2.7777777777777777,0.3333333333333333
33,3,0,2.8,0.3
36,2,0,2.727272727272727,0.2727272727272727
39,3,0,2.75,0.25
42,2,0,2.6923076923076925,0.23076923076923078
45,3,0,2.7142857142857144,0.21428571428571427
48,3,0,2.7333333333333334,0.2
51,3,0,2.75,0.1875
54,3,0,2.764705882352941,0.17647058823529413
57,2,0,2.7222222222222223,0.16666666666666666
60,4,1,2.789473684210526,0.21052631578947367
63,3,1,2.8,0.25
66,2,1,2.761904761904762,0.2857142857142857
69,2,0,2.727272727272727,0.2727272727272727
72,4,0,2.782608695652174,0.2608695652173913
75,3,0,2.7916666666666665,0.25
78,3,0,2.8,0.24
81,3,0,2.8076923076923075,0.23076923076923078
84,3,0,2.814814814814815,0.2222222222222222
87,4,0,2.857142857142857,0.21428571428571427
90,3,0,2.8620689655172415,0.20689655172413793
93,2,0,2.8333333333333335,0.2
96,4,0,2.870967741935484,0.1935483870967742
99,3,0,2.875,0.1875
102,3,0,2.878787878787879,0.18181818181818182
105,4,0,2.911764705882353,0.17647058823529413
108,3,0,2.914285714285714,0.17142857142857143
111,4,0,2.9444444444444446,0.16666666666666666
114,4,0,2.972972972972973,0.16216216216216217
117,2,0,2.9473684210526314,0.15789473684210525
120,2,0,2.923076923076923,0.15384615384615385
123,2,0,2.9,0.15
126,2,0,2.8780487804878048,0.14634146341463414
129,2,0,2.857142857142857,0.14285714285714285
132,2,1,2.8372093023255816,0.16279069767441862
135,3,1,2.840909090909091,0.18181818181818182
138,4,1,2.8666666666666667,0.2
141,3,1,2.869565217391304,0.21739130434782608
144,2,1,2.851063829787234,0.23404255319148937
147,3,0,2.8541666666666665,0.22916666666666666
150,2,0,2.836734693877551,0.22448979591836735
153,2,0,2.82,0.22
157,2,1,2.803921568627451,0.23529411764705882
160,2,1,2.7884615384615383,0.25
163,2,1,2.7735849056603774,0.2641509433962264
166,3,1,2.7777777777777777,0.2777777777777778
169,2,1,2.7636363636363637,0.2909090909090909
172,2,1,2.75,0.30357142857142855
175,2,1,2.736842105263158,0.3157894736842105
178,2,1,2.7241379310344827,0.3275862068965517
181,2,1,2.711864406779661,0.3389830508474576
184,3,1,2.716666666666667,0.35
187,2,1,2.7049180327868854,0.36065573770491804
190,3,1,2.7096774193548385,0.3709677419354839
193,3,1,2.7142857142857144,0.38095238095238093
196,4,0,2.734375,0.375
199,2,0,2.723076923076923,0.36923076923076925
202,3,0,2.727272727272727,0.36363636363636365
205,2,1,2.716417910447761,0.373134328358209
208,2,1,2.7058823529411766,0.38235294117647056
211,3,1,2.710144927536232,0.391304347826087
214,3,1,2.7142857142857144,0.4
217,4,1,2.732394366197183,0.4084507042253521
220,2,0,2.7222222222222223,0.4027777777777778
223,4,0,2.73972602739726,0.3972602739726027
226,2,0,2.72972972972973,0.3918918918918919
229,3,0,2.7333333333333334,0.38666666666666666
232,2,0,2.723684210526316,0.3815789473684211
235,3,0,2.727272727272727,0.37662337662337664
238,3,0,2.730769230769231,0.3717948717948718
241,1,0,2.7088607594936707,0.3670886075949367
